Arbeitsschritt;Beginn/Ende;Uhrzeit;;
1;Beginn;16:45;;
1;Ende;17:00;;
2;Beginn;17:00;;
2;Ende;17:15;;
3;Beginn;17:30;;
5;Beginn;18:10;;
5;Ende;18:11;;
3;Ende;18:30;;
4;Beginn;18:15;;
4;Ende;18:20;;
6;Beginn;18:30;;
6;Ende;18:40;;
7;Beginn;18:45;;
7;Ende;18:50;;
8;Beginn;19:00;;
15;Beginn;06:30;;Achtung: Folgetag! Bitte alle Zeiten ab hier auf Folgetag interpretieren
15;Ende;06:40;;
8;Ende;07:00;;
9;Beginn;07:00;;
10;Beginn;07:05;;
9;Ende;07:10;;
11;Beginn;07:10;;
10;Ende;07:15;;
11;Ende;07:15;;
12;Beginn;07:15;;
14;Beginn;07:15;;
12;Ende;07:20;;
13;Beginn;07:20;;
14;Ende;07:20;;
13;Ende;07:35;;
