Arbeitsschritt;Bezeichnung;Dauer (min)
1;Zutaten bereitlegen;10
2;Teig kneten und zu Kugel formen;15
3;Teig kalt stellen;60
4;Teig durchkneten;5
5;Arbeitsfläche mit Mehl bestreuen;1
6;Teig in Rollen a 10 cm Laenge formen;10
7;Teigrollen in Folie verpacken;5
8;Teigrollen in Folie ueber Nacht kalt stellen;720
9;Teigrollen backen (Unterhitze, 200 Grad);10
10;Schokoladenmasse erwärmen;10
11;Puderzucker mit Kirschsaft glatt rühren;5
12;Plätzchen mit Oberseite in Guss tauchen;5
13;Guss fest werden lassen;15
14;Plätzchen mit Schokoladenglasur einstreichen;5
15;Backofen vorheizen;5
